player,elo_Hard,elo_Clay,elo_Grass
Viktoria Hruncakova,1488.154658837896,1500.0,1500.0
Kateryna Bondarenko,1488.0,1500.0,1500.0
Lucrezia Stefanini,1487.9704183031495,1485.7172036463842,1500.0001013179428
Destanee Aiava,1487.7319809613114,1500.0,1500.0
Marina Melnikova,1487.6142556206687,1500.0,1500.0
Martins Rocens,1487.6051129249252,1500.0,1500.0
Brenda Fruhvirtova,1487.5931899669774,1482.6626206997726,1500.1877620549692
Renata Jamrichova,1487.5413102315738,1484.4146538947666,1500.0
Vladyslav Orlov,1487.403449144282,1500.0,1500.0
Elsa Jacquemot,1487.2572680816268,1454.9048584630414,1479.4056872423248
Dayeon Back,1487.2459495027115,1500.0,1500.0
Jessika Ponchet,1487.1662122424634,1478.4619214976824,1485.0
Ignacio Buse,1487.1133046633076,1500.0,1500.0
Joao Sousa,1487.01648446437,1480.7056581820361,1500.0
Clara Burel,1486.7594815725345,1469.3989238841434,1464.257250793143
Victoria Rodriguez,1486.7154803408466,1500.0,1500.0
Marius Copil,1486.6588433887168,1500.0,1500.0
Andy Murray,1486.589297415835,1458.8952878128036,1483.1521949210226
Louisa Chirico,1486.3384852318256,1483.9881522790959,1500.0
Chiraz Bechri,1486.3357184760566,1500.0,1500.0
Clervie Ngounoue,1486.301182767411,1487.585699413623,1500.0
Caroline Dolehide,1486.058841693218,1484.479680322358,1483.8661742920947
Alexander Bublik,1485.8212431675415,1503.3991030123752,1511.1056528747777
Rigele Te,1485.6525822733176,1500.0,1500.0
Muhammad Shoaib,1485.6471999915343,1500.0,1485.0
Mika Stojsavljevic,1485.591961420384,1500.0,1500.0
Elena Gabriela Ruse,1485.574432942196,1515.5263148468252,1480.0001138477053
