player,elo_Hard,elo_Clay,elo_Grass
b. palicova,1500.0,1484.9989782432324,1500.0
a. soboleva,1500.0,1484.7320125935978,1500.0
d. salkova,1500.0,1499.304428851221,1500.0
o. selekhmeteva,1500.0,1514.9773554460116,1500.0
l. neumayer,1500.0,1526.2372762548955,1500.0
a. collarini,1500.0,1480.688423785797,1500.0
g. andreozzi,1500.0,1483.7670541046182,1500.0
l. mikrut,1500.0,1481.2030565088512,1500.0
m. poljicak,1500.0,1481.4413299205935,1500.0
j. caffarena,1500.0,1480.7418455555503,1500.0
s. janicijevic,1500.0,1515.576535863716,1500.0
e. couacaud,1500.0,1483.0,1500.0
v. paganetti,1500.0,1480.2420321087902,1500.0
r. serban,1500.0,1481.1233833461429,1500.0
a. toth,1500.0,1484.327431085214,1500.0
g. topalova,1500.0,1470.622742010505,1500.0
n. szabanin,1500.0,1482.990399721964,1500.0
m. bulgaru,1500.0,1467.0898459940192,1500.0
f. stollar,1500.0,1485.029927712396,1500.0
c. monnet,1500.0,1500.0838249171074,1500.0
e. makarova,1500.0,1482.7617199015815,1500.0
l. boskovic,1500.0,1519.4810376752666,1500.0
m. benoit,1500.0,1484.5715935263115,1500.0
m. barthel,1500.0,1473.0678582282114,1500.0
y. laaroussi,1500.0,1484.3528000084657,1500.0
m. taborda,1500.0,1483.0,1500.0
a. boluda,1500.0,1500.968782548456,1500.0
j. ortenzi,1500.0,1518.518048222414,1500.0
l. giovannini,1500.0,1482.2572123076975,1500.0
r. anderson,1500.0,1483.039195762273,1500.0
f. jorge,1500.0,1482.5276894868705,1500.0
a. beckley,1500.0,1485.05254521726,1500.0
i. radulov,1500.0,1515.0,1500.0
h. nys,1500.0,1515.0,1500.0
r. arneodo,1500.0,1514.26663616638,1500.0
c. cruz,1500.0,1485.0,1500.0
l. gormaz,1500.0,1487.4800105613615,1500.0
n. huergo,1500.0,1481.1751439971367,1500.0
f. zakaryia,1500.0,1485.0,1500.0
c. gannon,1500.0,1470.010424739473,1500.0
s. mansouri,1500.0,1499.3528000084657,1500.0
g. reales,1500.0,1498.1972466829209,1500.0
m. ebden,1500.0,1490.5045093391072,1500.0
r. haase,1500.0,1478.8727603653283,1500.0
f. cabral,1500.0,1487.7922515973123,1500.0
p. tsitsipas,1500.0,1482.9704133594282,1500.0
d. kovinic,1500.0,1483.4706434482418,1500.0
k. kawa,1500.0,1535.5709539506663,1500.0
i. snitari,1500.0,1470.6471999915343,1500.0
t. rijthoven,1500.0,1500.0,1483.0
a. aouni,1500.0,1485.8198754993737,1500.0
y. kabbaj,1500.0,1483.8178580518647,1500.0
c. rosatello,1500.0,1500.326378276356,1500.0
j. stusek,1500.0,1500.0,1488.0
m. allami,1500.0,1484.2176932294965,1500.0
a. rajecki,1500.0,1500.0,1485.027941837419
c. alves,1500.0,1481.886793301418,1500.0
b. cengiz,1500.0,1484.2682094888162,1500.0
e. appleton,1500.0,1500.0,1485.000101524315
c. naef,1500.0,1500.0,1501.850802850635
e. vedder,1500.0,1500.0,1485.0
f. misolic,1500.0,1485.983592000876,1500.0
m. martineau,1500.0,1500.0,1483.0
m. ristic,1500.0,1484.3087879212806,1500.0
i. escorihuela,1500.0,1479.2750218388778,1500.0
p. udvardy,1500.0,1480.36653845027,1482.0097932476808
l. bagaric,1500.0,1482.7746508223215,1500.0
j. avdeeva,1500.0,1486.6016573042086,1500.0
h. searle,1500.0,1500.0,1463.8009596959564
a. uytvanck,1500.0,1463.6476571857104,1465.8629333220458
c. broom,1500.0,1500.0,1464.5449289500775
f. sarra,1500.0,1481.047973172106,1500.0
g. pedone,1500.0,1482.0068438192848,1500.0
s. fanselow,1500.0,1482.492783013592,1500.0
m. janvier,1500.0,1500.0,1479.9241872928576
a. fery,1500.0,1500.0,1480.0
a. pellegrino,1500.0,1483.7100075114397,1500.0
n. izquierdo,1500.0,1485.4688315159165,1500.0
j. cardozo,1500.0,1482.3892680536708,1500.0
l. pigato,1500.0,1481.1965950900724,1500.0
j. cosano,1500.0,1481.5716995157431,1500.0
g. hussey,1500.0,1500.0,1497.9456963833406
n. akugue,1500.0,1493.321688331342,1500.0
p. jubb,1500.0,1500.0,1507.6141690317604
s. dominko,1499.410256560357,1500.0,1500.0
l. glushko,1499.3947068218154,1500.0,1500.0
c. rodesch,1499.3806920701602,1499.3528000084657,1500.0
a. fierros,1499.348505987397,1500.0,1500.0
j. engel,1499.207129095549,1500.0,1500.0
r. nadal,1499.1796735540893,1567.3468711829833,1500.0
